organization,type,candidate_name,candidate_id,bioguide_id,party,office,state,district,amount,date,support_oppose,is_current_member
UDP (AIPAC Super PAC),Independent Expenditure,"COLLINS, KINA",H0IL07167,,DEM,H,IL,07,-7272.46,2025-01-31,Oppose,0
UDP (AIPAC Super PAC),Independent Expenditure,"GOMEZ, JIMMY",H8CA34266,G000585,DEM,H,CA,34,-28159.84,2025-01-31,Support,1
