Lawmaker Name,Statement,Link,Date
Rep. Gregory Meeks (D-NY); Rep. Adam Smith (D-WA); Rep. Jim Himes (D-CT),"“We strongly oppose preemptive U.S. military action against Iran, which endangers U.S. personnel and risks drawing Israel and Gulf partners into a wider conflict.”",https://x.com/HASCDemocrats/status/2024919397073031208?s=20,"February 20, 2026"
Rep. Jerry Nadler (D-NY),“Trump is threatening an illegal strike on Iran that will bring needless death and destruction. This is a clear case of a wannabe dictator grasping at straws to exert power… Congress must do our job and stop Trump’s reckless actions.”,https://x.com/RepJerryNadler/status/2024921155807645929?s=20,"February 20, 2026"
Rep. Alexandria Ocasio-Cortez (D-NY),“No war with Iran.”,https://x.com/AOC/status/2025258950724145660?s=20,"February 21, 2026"
Rep. Ilhan Omar (D-MN),“The American people do not want war. Trump is threatening an illegal strike on Iran. This will do nothing but bring needless death and destruction. We cannot let warmongers override Congress's power. No war with Iran.”,https://x.com/Ilhan/status/2024885378457473436?s=20,"February 20, 2026"
Rep. Scott Peters (D-CA),"“If President Trump intends to risk the lives of our servicemembers by going to war with Iran or anyone else, he needs to come before Congress and present a plan. Anything else is a violation of our laws and a disregard for the safety of our troops.”",https://x.com/RepScottPeters/status/2024634835021763023?s=20,"February 19, 2026"
Rep. Mark Pocan (D-WI),“No. War. With. Iran.”,https://x.com/MarkPocan/status/2025662616706990193?s=20,"February 22, 2026"
Rep. Delia Ramirez (D-IL),“Let's be clear: Trump wants war to centralize and expand his powers. It's another page out of the authoritarian playbook. Congress must assert its authority and stop the warmonger-in-chief from dragging us into another endless war while simultaneously undermining our democracy.”,https://x.com/repdeliaramirez/status/2024958345933664543?s=20,"February 20, 2026"
Rep. Adam Smith (D-WA),“Donald Trump should not start war with Iran. ...I urge everyone to support Ro Khanna's War Powers Resolution.”,https://x.com/RepAdamSmith/status/2024658542154637444,"February 19, 2026"
Rep. Melanie Stansbury (D-NM),"“No new wars! Not in Iran, not anywhere else. The American people do not want this. But, you know what they do want? Healthcare, housing, good-paying jobs, and accountability. Bombing Iran is not that.”",https://x.com/Rep_Stansbury/status/2024924641769205773?s=20,"February 20, 2026"
Rep. Rashida Tlaib (D-MI),“No war with Iran! Trump's illegal warmongering will only bring death and destruction. This is a disaster in the making and we must do everything in our power to stop it. Pass a War Powers resolution. Organize. We must rebuild the anti-war movement.”,https://x.com/RepRashida/status/2024552014856732992?s=20,"February 19, 2026"
Rep. Gabe Vasquez (D-NM),"“Americans have spoken loud and clear: no more unnecessary global conflicts or endless wars. The Administration’s continued threats of military action in Iran stoke fears and tensions in the Middle East, further destabilizing a fragile region. We must govern with strategy, intelligence and diplomacy, not reactive force that puts our troops in danger.”",https://x.com/RepGabeVasquez/status/2024974091372167417?s=20,"February 20, 2026"
Rep. Nydia Velazquez (D-NY),"“Without a single vote in Congress, the Trump admin is building up the largest military force in the Middle East since Iraq. The American people do not want another catastrophic regime change war. We must pass a War Powers resolution. No war with Iran.”",https://x.com/NydiaVelazquez/status/2024573691611263092?s=20,"February 19, 2026"
Rep. Debbie Wasserman Schultz (D-FL),“We have not seen anything about an imminent threat that would necessitate a significant strike…. To think that this would be a walk in the park? The president is really not thinking this through carefully and he needs to consult with Congress.”,https://x.com/justfp/status/2025913323355554156?s=20,"February 23, 2026"
