bioguide_id,full_name,aipac_direct_amount_2022,aipac_earmark_amount_2022,aipac_ie_support_2022,aipac_ie_against_opp_2022,aipac_ie_total_2022,aipac_total_2022,dmfi_direct_2022,dmfi_earmark_2022,dmfi_ie_support_2022,dmfi_ie_against_opp_2022,dmfi_ie_total_2022,dmfi_total_2022,aipac_supported_2022,dmfi_supported_2022
B001313,"Brown, Shontel M.",7900.0,142770.0,0.0,198878.9,198878.9,349548.9,2000.0,0.0,1499340.0,1525261.0,3024601.0,3026601.0,1,1
B001314,"Bean, Aaron",10000.0,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
B001315,"Budzinski, Nikki",0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,0.0,0.0,0.0,3000.0,0,1
B001316,"Burlison, Eric",5000.0,0.0,0.0,0.0,0.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
B001317,"Brecheen, Josh",5000.0,0.0,0.0,0.0,0.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
B001318,"Balint, Becca",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
B001319,"Britt, Katie Boyd",5000.0,90050.0,0.0,0.0,0.0,95050.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
B001321,"Barrett, Tom",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
B001322,"Baumgartner, Michael",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
B001323,"Begich, Nicholas J.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
B001324,"Bell, Wesley",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
B001325,"Biggs, Sheri",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
B001326,"Bynum, Janelle S.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
B001327,"Bresnahan, Robert P.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
C000059,"Calvert, Ken",7900.0,102225.0,0.0,0.0,0.0,110125.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
C000127,"Cantwell, Maria",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
C000537,"Clyburn, James E.",7900.0,83100.0,0.0,0.0,0.0,91000.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
C000880,"Crapo, Mike",7900.0,37650.0,0.0,0.0,0.0,45550.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
C001035,"Collins, Susan M.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
C001039,"Cammack, Kat",10000.0,1500.0,0.0,0.0,0.0,11500.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
C001047,"Capito, Shelley Moore",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
C001051,"Carter, John R.",5000.0,0.0,0.0,0.0,0.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
C001053,"Cole, Tom",10000.0,40150.0,0.0,0.0,0.0,50150.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
C001055,"Case, Ed",10000.0,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
C001056,"Cornyn, John",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
C001059,"Costa, Jim",7900.0,1000.0,0.0,0.0,0.0,8900.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
C001061,"Cleaver, Emanuel",10000.0,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
C001063,"Cuellar, Henry",7900.0,0.0,422803.46,1428196.8,1851000.26,1858900.26,0.0,0.0,0.0,0.0,0.0,0.0,1,0
C001066,"Castor, Kathy",10000.0,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
C001067,"Clarke, Yvette D.",10000.0,12100.0,0.0,0.0,0.0,22100.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
C001068,"Cohen, Steve",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
C001069,"Courtney, Joe",7900.0,9000.0,0.0,0.0,0.0,16900.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
